10 1117 3892
5 56     97.502663 524.026489
6 56     282.534332 444.150482
0 57     277.016968 1142.153809
1 57     285.485138 1090.011230
2 57     346.877472 1038.884888
3 57     336.771393 1003.524536
0 58     496.218689 522.793579
1 58     513.935486 469.485260
0 59     506.584229 566.601624
1 59     523.625122 516.266113
2 59     584.689575 467.001038
3 59     580.891541 447.413025
4 59     534.415955 371.282684
5 59     540.250000 333.958771
6 59     744.472961 346.946869
0 60     383.704010 619.501648
1 60     399.306580 573.587036
0 61     398.633636 620.637878
1 61     413.459503 576.434631
2 61     477.400726 537.273987
3 61     467.554932 524.024231
4 61     413.744446 461.460724
5 61     422.835052 417.948547
6 61     619.490601 447.449738
0 62     373.967834 633.066223
2 62     454.580017 545.993530
0 63     186.307083 646.876892
2 63     252.222183 548.463013
3 63     249.049911 520.040894
5 63     196.102173 398.620819
0 64     435.203979 940.594116
1 64     443.484283 877.407898
2 64     509.040680 837.626953
5 64     446.575562 670.924438
0 65     263.909821 1044.456299
1 65     273.996521 993.084412
2 65     336.278381 947.795654
3 65     326.281097 919.897522
0 66     290.709900 1047.491821
1 66     300.740692 996.567261
2 66     363.306915 949.816528
3 66     352.722992 921.207764
4 66     285.880341 828.034668
5 66     297.496765 805.359802
6 66     487.752686 790.854126
0 67     279.118164 1054.251709
1 67     289.823151 1005.608704
2 67     352.826904 959.672607
3 67     341.921173 933.903870
4 67     274.584564 843.678345
5 67     286.554321 819.849915
0 68     253.211197 1167.507080
2 68     325.932404 1060.622681
0 69     232.839432 1081.050049
1 69     242.689850 1025.857788
2 69     304.261353 976.555176
3 69     294.371552 943.902161
4 69     224.579071 842.146973
5 69     237.234985 822.650879
0 70     272.219666 1035.957764
1 70     281.934174 984.463562
2 70     344.754333 938.639404
5 70     276.171265 792.522705
0 71     558.593933 888.731079
1 71     571.070435 833.142639
2 71     627.942444 774.854187
3 71     624.652344 743.682434
4 71     569.300415 643.269592
5 71     576.802734 622.466064
0 72     569.571472 883.075745
1 72     581.443970 827.282959
2 72     638.697083 769.247620
3 72     636.602600 738.460022
4 72     583.065918 639.867432
5 72     590.025818 617.557373
0 73     566.802795 868.099609
2 73     637.201660 754.208862
4 73     580.751648 624.553101
0 74     561.585571 847.798462
1 74     574.539917 792.469849
3 74     630.117126 704.815247
4 74     576.036682 606.479126
5 74     583.247803 584.344116
0 75     550.179810 838.820068
1 75     563.177734 783.703308
2 75     620.451111 725.733643
3 75     619.215576 692.115601
0 76     427.615234 764.812866
2 76     584.106567 685.489014
3 76     509.355896 674.596741
6 76     614.896545 595.982056
0 77     340.283936 722.103210
1 77     354.157990 680.162170
2 77     419.411957 644.013062
3 77     406.774902 631.706787
4 77     347.693665 571.500977
5 77     358.251282 527.861816
6 77     550.890015 558.246521
0 78     330.218811 701.368958
1 78     344.298187 658.010681
2 78     409.352783 621.692261
3 78     396.927368 608.700378
4 78     338.336823 548.463501
5 78     349.057465 504.455353
6 78     541.693237 535.815857
0 79     205.076691 646.407471
1 79     216.853607 592.115295
3 79     267.329834 517.296814
4 79     207.488525 424.036438
5 79     218.156036 395.513550
0 80     507.550964 629.838989
1 80     523.296570 582.309509
2 80     585.896179 536.217834
0 81     429.413300 598.207642
1 81     446.156006 553.582764
2 81     512.304199 512.190125
3 81     504.396301 495.878967
0 82     412.306396 1159.207153
1 82     420.724854 1104.220581
2 82     481.815460 1049.089844
3 82     472.488525 1015.674377
5 82     417.123718 894.940857
0 83     275.844757 1067.026978
3 83     329.739868 936.695190
4 83     262.442139 844.535156
0 84     407.561523 560.126465
1 84     423.095795 511.219910
2 84     485.659363 468.177887
3 84     477.904358 452.561737
4 84     427.692200 385.951569
5 84     434.527924 342.848816
6 84     634.020813 371.376892
0 85     314.951752 481.123566
1 85     332.174835 421.418823
0 86     322.751343 707.240723
1 86     338.377655 662.331055
2 86     403.553009 626.723511
3 86     390.934540 614.069946
4 86     330.431244 552.311462
5 86     342.751251 509.595520
6 86     535.276855 539.822998
0 87     341.619934 733.179688
1 87     366.636810 700.132324
2 87     439.164093 668.547546
3 87     407.738434 642.495789
4 87     347.570435 581.733154
5 87     371.607635 549.181519
6 87     566.672424 580.521729
0 88     538.494812 837.398376
1 88     552.099182 780.493530
2 88     609.522461 723.467834
3 88     607.828003 694.364380
5 88     562.955933 579.573242
0 89     118.256172 853.105103
1 89     132.030884 771.398804
2 89     178.227753 697.837402
3 89     183.721802 636.609558
5 89     127.032883 482.552338
0 90     570.834778 857.824585
1 90     583.238464 802.968750
2 90     640.862427 745.177002
3 90     638.254456 714.604736
4 90     585.847473 615.322388
5 90     592.213623 594.172424
6 90     795.762451 570.476135
0 91     87.411995 913.125244
1 91     100.211731 830.516724
2 91     146.877701 757.411194
3 91     151.592010 694.642883
4 91     84.148781 531.962097
5 91     93.170021 540.369690
6 91     279.233429 459.818359
0 92     226.183731 1075.238647
4 92     212.913513 835.679688
0 93     307.923157 474.200378
1 93     323.401489 411.967865
2 93     455.761078 347.695496
0 94     325.713104 521.410950
1 94     342.985779 468.622498
2 94     404.547974 423.138336
3 94     395.695557 402.478455
5 94     350.790131 286.903992
0 95     280.196899 488.720154
1 95     296.809113 428.901855
0 96     477.197693 503.019623
1 96     495.016357 450.754242
0 97     353.315399 512.335083
2 97     426.731171 416.372498
0 98     329.991943 720.078979
1 98     344.418030 677.603699
2 98     410.197784 642.505005
3 98     396.600586 628.625305
4 98     337.363220 568.974182
5 98     349.471710 525.439331
0 99     124.847092 859.653198
1 99     138.086487 777.672058
2 99     185.601669 703.546753
3 99     191.172806 641.247742
4 99     127.651817 481.271515
5 99     134.692764 487.490295
0 100     99.494949 882.517822
1 100     112.487068 800.482239
2 100     159.114288 727.394836
3 100     164.072052 665.712463
4 100     97.380699 504.335175
5 100     106.199242 511.777100
6 100     292.705414 433.302277
0 101     198.224274 1165.935059
1 101     207.468094 1106.581177
2 101     269.296570 1052.713257
0 102     433.685974 617.730469
1 102     450.104675 571.135864
2 102     517.525818 528.753052
0 103     674.496033 1192.657227
4 103     116.561417 994.478210
0 104     221.634995 652.527466
1 104     234.508286 595.954468
2 104     291.857422 547.631042
3 104     283.383911 519.574036
0 105     386.747101 492.934845
1 105     400.392975 441.195038
0 106     389.704803 493.897675
1 106     406.740051 442.099030
1 107     400.250488 551.265503
2 107     459.366028 497.293060
3 107     457.548676 466.231262
5 107     415.533447 348.166718
8 107     478.615662 575.478516
1 108     117.055244 531.165527
2 108     204.906845 495.807037
3 108     213.920471 462.638519
1 109     233.236526 804.040649
2 109     280.651428 748.750305
3 109     264.469086 703.612549
5 109     190.930695 567.057495
1 110     178.570389 959.566223
2 110     228.336014 897.302002
3 110     225.444199 848.175293
4 110     150.473511 712.398499
5 110     163.762390 709.473450
1 111     398.802795 939.605896
2 111     461.616333 889.253113
3 111     456.898682 864.780212
4 111     398.337524 771.800537
5 111     408.787384 749.384094
1 112     594.596558 544.559326
2 112     653.428955 488.780609
3 112     655.357910 464.942566
4 112     615.329956 379.754944
5 112     614.016846 349.688141
8 112     705.659058 670.009277
1 113     174.335190 697.358398
2 113     219.922577 634.142029
1 114     149.511002 848.598389
2 114     199.756790 780.913818
1 115     295.598145 1049.674561
2 115     357.220520 1002.700928
3 115     347.746460 974.459290
4 115     279.010956 873.788452
5 115     290.628632 855.289368
1 116     371.527924 897.800659
2 116     432.896790 847.375732
3 116     424.700378 818.364868
4 116     361.544312 722.258972
5 116     370.549347 697.878052
6 116     562.613159 681.816650
1 117     163.838608 1091.184570
2 117     211.904007 1029.593750
3 117     193.608719 978.008301
5 117     144.306519 842.055176
1 118     379.521851 1069.253540
3 118     430.404724 994.862610
4 118     360.770782 899.459473
5 118     367.789917 877.214783
1 119     423.932220 506.293671
2 119     485.733551 460.973297
3 119     481.951935 443.935699
4 119     443.555725 372.326813
1 120     558.867126 813.126282
2 120     617.984192 754.779785
3 120     617.324463 723.723511
4 120     571.100769 622.342468
6 120     785.862122 575.372375
1 121     503.554840 516.144531
2 121     551.288818 467.547333
1 122     455.042877 833.888428
2 122     510.128021 782.090942
3 122     508.699860 751.581238
4 122     437.096588 666.293579
5 122     450.036591 639.733948
1 123     396.492279 446.301971
2 123     449.060394 394.299286
3 123     447.437805 364.790436
1 124     293.205658 413.364075
2 124     340.363037 355.034851
3 124     331.120483 319.908966
1 125     286.547546 460.021362
2 125     340.561981 409.941315
3 125     333.166870 383.840820
1 126     489.270020 610.887512
2 126     552.730103 571.312012
3 126     543.332153 560.980042
4 126     490.975494 504.948029
5 126     500.298248 459.059784
1 127     547.635193 617.783936
2 127     611.032654 571.769226
3 127     609.032898 556.252686
4 127     564.206238 487.199219
5 127     568.485046 448.785461
6 127     778.492065 455.407837
7 127     849.817383 369.134766
1 128     337.164978 1009.277527
2 128     396.632355 964.359009
3 128     385.856506 937.283264
4 128     317.951019 845.439514
5 128     329.781067 821.524841
1 129     317.806427 1110.006836
2 129     382.246124 1064.237427
3 129     369.006866 1037.298340
4 129     299.029816 945.033752
5 129     311.520691 922.781433
6 129     501.869751 905.791321
1 130     232.146210 1063.177368
2 130     295.240387 1013.965271
3 130     284.852295 981.976929
4 130     209.138565 888.774475
5 130     225.919800 864.346375
1 131     248.083237 1124.156250
6 131     431.883423 892.626404
7 131     485.381439 772.747253
1 132     479.787231 1118.882690
2 132     538.294006 1064.408691
3 132     528.263428 1032.966064
4 132     459.981354 929.497864
5 132     471.272858 913.192871
6 132     664.862305 880.270874
1 133     544.641479 856.702087
2 133     602.509460 796.643250
3 133     599.891968 763.959778
4 133     543.901428 661.420837
5 133     550.749939 641.965332
1 134     519.113098 460.332947
2 134     578.824646 407.688019
3 134     578.392334 384.273193
1 135     55.242840 827.223938
2 135     101.739998 752.945679
3 135     107.374207 690.237488
5 135     48.835209 533.918762
1 136     511.593140 845.165344
2 136     568.600098 788.067383
3 136     563.796875 757.186462
4 136     506.047913 657.571411
5 136     514.444214 636.507507
1 137     453.166504 568.491028
2 137     519.220337 527.109924
1 138     492.743347 569.823730
2 138     555.249451 527.712341
3 138     532.626770 511.895203
5 138     491.385956 406.475403
1 139     279.545807 932.723511
2 139     339.686249 888.333313
1 140     96.599297 789.218445
2 140     149.371017 702.587708
3 140     147.168030 652.083374
5 140     89.400284 494.947479
1 141     300.130829 901.641174
2 141     360.321167 860.257019
1 142     501.136871 813.560425
2 142     558.587463 759.145630
3 142     555.324951 729.666260
4 142     474.521210 654.270874
1 143     244.651276 506.398499
2 143     297.654846 461.663971
3 143     292.801178 431.599091
5 143     243.211517 308.109253
6 143     416.948578 312.714050
7 143     477.946503 206.275040
1 144     467.679077 444.873322
2 144     526.631714 393.254669
3 144     519.564819 369.021881
1 145     347.674255 451.781738
3 145     399.318054 384.916260
1 146     555.560181 505.869110
2 146     614.282288 445.627136
